Index,Is Reference,Name,Brightest Detector,ra,dec,t90,Binsize,Distance,Sigma
106,0,GRB130320560,n9,195.54,-71.26,340.992,1.0,40467.0,299.507
46,1,GRB160406570,n8,208.48,-76.37,66.56,1.0,0.0,
131,0,GRB150902733,n3,214.93,-69.36,13.568,1.0,35372.0,175.666
141,0,GRB171024977,n6,210.53,-68.91,35.072,1.0,21553.0,102.479
152,0,GRB191220589,n4,211.77,-67.51,27.905,1.0,8900.0,35.468
47,1,GRB130804023,n6,280.03,-76.15,0.96,0.1,0.0,
51,0,GRB170124874,n0,282.04,-75.51,22.784,1.0,270186.0,3574.866
128,0,GRB090725838,n8,281.88,-69.49,13.76,1.0,246683.0,3262.141
48,1,GRB161020759,n4,66.09,-75.65,24.32,1.0,0.0,
90,0,GRB091102607,n2,72.62,-72.52,6.656,1.0,20324.0,126.194
97,0,GRB170113420,nb,61.73,-71.93,49.152,1.0,31062.0,197.755
136,0,GRB130218261,na,69.31,-69.13,37.121,1.0,13828.0,82.904
144,0,GRB210126417,n1,70.68,-67.94,61.441,1.0,42556.0,274.353
49,1,GRB120114433,n0,263.23,-75.64,2.752,1.0,0.0,
56,0,GRB110911071,n2,258.58,-66.98,8.96,1.0,570.0,0.119
100,0,GRB090802666,nb,267.02,-71.77,27.52,1.0,2150.0,15.76
50,1,GRB170121067,n1,3.03,-75.62,2.304,1.0,0.0,
111,0,GRB180801492,n0,3.38,-70.68,7.424,1.0,1262.0,9.326
164,0,GRB180703876,n7,6.54,-67.1,20.736,1.0,3224.0,35.069
186,0,GRB090625560,n8,2.26,-65.78,13.056,1.0,3712.0,41.472
51,1,GRB170124874,n0,282.04,-75.51,22.784,1.0,0.0,
69,0,GRB150602840,nb,289.87,-74.21,10.496,1.0,32198.0,211.154
128,0,GRB090725838,n8,281.88,-69.49,13.76,1.0,5522.0,28.898
52,1,GRB190806675,n0,121.13,-75.36,20.992,1.0,0.0,
58,0,GRB141022087,n2,119.39,-75.17,9.216,1.0,609492.0,4879.117
60,0,GRB210411564,n7,115.68,-74.84,47.873,1.0,5676.0,37.208
68,0,GRB141221897,n3,126.02,-74.21,32.513,1.0,2155.0,8.973
93,0,GRB200616048,n6,116.16,-72.23,23.297,1.0,4292.0,26.11
102,0,GRB090516137,n7,122.2,-71.62,110.594,1.0,5517.0,35.933
130,0,GRB210520797,n0,123.0,-69.4,56.065,1.0,3614.0,20.673
139,0,GRB130420422,na,117.06,-69.03,27.328,1.0,2305.0,10.176
140,0,GRB081226044,n2,120.5,-69.0,0.832,0.1,217381.0,976.592
53,1,GRB210721978,n6,31.53,-75.22,9.984,1.0,0.0,
86,0,GRB090922605,nb,38.36,-73.08,52.736,1.0,4589.0,35.72
95,0,GRB090120627,n2,38.1,-72.2,1.856,0.1,208767.0,416.154
112,0,GRB171212434,n0,39.44,-70.62,32.001,1.0,2835.0,19.688
54,1,GRB180614327,na,52.22,-75.17,9.216,1.0,0.0,
99,0,GRB100517639,n4,52.73,-71.87,5.44,1.0,5691.0,52.478
135,0,GRB140110411,n0,50.64,-69.29,0.768,0.1,178863.0,397.566
151,0,GRB110316139,n3,46.7,-67.58,2.944,1.0,6633.0,62.243
163,0,GRB090819607,n7,49.08,-67.12,0.192,0.1,168771.0,453.673
